USER_ID,AGE,EDUCATION_LEVEL
10000,22.0,Secondary
10001,30.0,Secondary
10002,50.0,Secondary
10003,38.0,Secondary
10004,35.0,Postgrad
10005,41.0,Postgrad
10006,38.0,University
10007,28.0,Postgrad
10008,29.0,Postgrad
10009,38.0,Poly
10010,43.0,University
10011,27.0,Postgrad
10012,14.0,JC
10013,30.0,Postgrad
10014,33.0,Poly
10015,33.0,Secondary
10016,34.0,JC
10017,39.0,Secondary
10018,24.0,Postgrad
10019,23.0,University
10020,37.0,Postgrad
10021,23.0,Secondary
10022,33.0,Secondary
10023,29.0,University
10024,40.0,Poly
10025,17.0,Postgrad
10026,40.0,Postgrad
10027,32.0,University
10028,18.0,Poly
10029,34.0,Postgrad
10030,36.0,JC
10031,35.0,JC
10032,39.0,JC
10033,22.0,JC
10034,24.0,Secondary
10035,39.0,Poly
10036,9.0,JC
10037,5.0,JC
10038,32.0,Poly
10039,31.0,University
10040,32.0,JC
10041,26.0,Secondary
10042,21.0,Poly
10043,16.0,Poly
10044,37.0,Postgrad
10045,30.0,University
10046,17.0,University
10047,31.0,University
10048,22.0,University
10049,23.0,Secondary
10050,27.0,JC
10051,32.0,Poly
10052,23.0,Secondary
10053,45.0,Postgrad
10054,30.0,Poly
10055,28.0,Poly
10056,37.0,Poly
10057,29.0,Postgrad
10058,31.0,Poly
10059,25.0,Poly
10060,20.0,University
10061,19.0,Secondary
10062,52.0,University
10063,28.0,Secondary
10064,37.0,JC
10065,44.0,University
10066,28.0,Postgrad
10067,18.0,Postgrad
10068,15.0,Postgrad
10069,41.0,Poly
10070,30.0,Secondary
10071,36.0,Postgrad
10072,16.0,Secondary
10073,21.0,Secondary
10074,23.0,University
10075,30.0,Poly
10076,28.0,Secondary
10077,31.0,University
10078,26.0,Postgrad
10079,22.0,Postgrad
10080,14.0,University
10081,34.0,Poly
10082,36.0,University
10083,31.0,Postgrad
10084,16.0,Postgrad
10085,28.0,Postgrad
10086,51.0,Poly
10087,31.0,Secondary
10088,31.0,Postgrad
10089,37.0,JC
10090,30.0,University
10091,26.0,University
10092,37.0,JC
10093,32.0,Poly
10094,30.0,Postgrad
10095,41.0,Postgrad
10096,17.0,Postgrad
10097,36.0,Secondary
10098,28.0,JC
10099,25.0,Secondary
10100,31.0,Secondary
10101,8.0,Postgrad
10102,34.0,Poly
10103,39.0,Postgrad
10104,30.0,Poly
10105,31.0,Postgrad
10106,32.0,JC
10107,31.0,JC
10108,32.0,JC
10109,25.0,Postgrad
10110,26.0,University
